报告日,资产,现金及存放中央银行款项,其中:现金,存放中央银行款,结算准备金,贵金属,存放同业款项,专项央行票据,央行专项扶持资金,存出保证金,拆出资金,其中:拆放同业,拆放金融性公司,存放联行款项,存出发钞基金,交易性金融资产,买入返售金融资产,应收账款,应收票据,应收款项融资,预付账款,应收利息,应收股利,应收租赁款,贴现,进出口押汇,发放贷款及垫款净额,发放贷款及垫款,减:贷款损失准备,代理业务资产,委托贷款及委托投资,存货,待处理抵债资产,减:抵债资产减值准备,待处理抵债资产净额,待摊费用,可供出售金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,长期股权投资,其中:投资子公司,债权投资,其他债权投资,投资性房地产,衍生金融工具资产,其他权益工具投资,长期应收款,固定资产原值,减:累计折旧,固定资产净值,减:固定资产减值准备,在建工程,固定资产净额,固定资产清理,固定资产合计,融资租赁资产,预付租赁资产款,划分为持有待售的资产,减:未确认的收益,应收投资款项,其他应收款,合同资产,使用权资产,无形资产,商誉,长期待摊费用,递延税款借项,其他资产,减:不良资产处置损失专项准备,资产总计,负债,短期借款,向中央银行借款,发行货币债务,同业存入及拆入,其中:同业存放款项,拆入资金,客户存款(吸收存款),联行存放款项,外国政府借款,借入其他资金,央行拨付专项票据资金,保证款项,财政拨款,委托存款,衍生金融工具负债,交易性金融负债,卖出回购金融资产款,票据融资,应解汇款及临时存款,发行存款证,汇出汇款,应付票据,应付账款,预收账款,应付职工薪酬,其中:应付工资,应付福利费,应交税费,应付利息,应付股利,其他应付款,代理业务负债,划分为持有待售的负债,存入保证金,合同负债,贴现负债,预提费用,预计负债,递延收益,长期借款,应付债券,其中:应付次级债券,应付债券：优先股,应付债券：永续债,长期应付款,租赁负债,专项应付款,递延所得税负债,货币兑换,其他负债,负债合计,股东权益,股本,其他权益工具,其中:优先股,其中：永续债,资本公积,其他综合收益,可供出售类投资未实现损益(公允价值变动储备),持有至到期投资未结转损益,减:库藏股,盈余公积,一般风险准备,未确定的投资损失,信托赔偿准备金,未分配利润,其中:拟分配现金股利,外币报表折算差额,其他储备,归属于母公司股东的权益,少数股东权益,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,10432510102.73,,,,,1881382086.91,,,,275856269.06,,,,,11992681964.43,6453814137.44,,,,,,,,,,151750350638.94,156202001616.56998,4451650977.63,,,,,,,,,,,1996506564.78,,17545047603.15,33589664049.26,,493921914.75,236235917.96,,,,,,3809204.34,839065403.62,,842874607.96,,,,,,,,91869090.68,70866900.59,,,2209840280.87,508966555.87,,240372388685.38,,,8795510300.45,,1922241768.88,862176496.98,1060065271.9,193020801084.49,,,,,,,,506070315.11,,8006895065.2,,,,,,,,726666978.27,,,195072570.83,,,,,,,,,,116487279.8,,,5329456568.38,,,,,83007928.57,,,,379019707.03,219081229567.01,,2444344974.0,1999142800.0,,,1738981692.71,377384390.26,,,,6009721571.56,3517988439.64,,,5028356072.96,,,,21115919941.13,175239177.24,240372388685.38,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:18:05
20251231,,10429971612.37,,,,,2138275399.99,,,,,,,,,10742397263.2,2409504948.98,,,,,,,,,,144104525211.7,148358454959.83002,4253929748.13,,,,,,,,,,,1974906564.78,,18298428045.19,32658868460.5,,674579242.82,236235917.96,,1869388408.96,1009314989.54,860073419.42,,1958477.59,860073419.42,,862031897.01,,,,,,,,83268338.4,77747791.25,,,2121738655.35,424713328.68,,227237192678.18,,,7655379228.3,,950984274.34,346308942.74,604675331.6,182145037948.21,,,,,,,,679221304.59,,7415021378.44,,,,,,,,848887683.42,,,143208765.98,,,,,,,,,,117216370.95,,,6148026530.81,,,,,78405243.45,,,,351159403.12,206532548131.61,,2444344974.0,1999142800.0,,1999142800.0,1738981692.71,368187111.97,,,,6009721571.56,3517988439.64,,,4451972178.36,,,,20530338768.24,174305778.33,227237192678.18,定期报告,是,20260430,CNY,合并期末,2026-03-30T18:56:04
20250930,,10820559855.44,,,,,2379373397.96,,,,219358745.44,,,,,10165278728.76,1982539981.35,,,,,,,,,,141782558360.62,146311263134.74,4528704774.12,,,,,,,,,,,1928148191.36,,18349417544.84,29068944926.79,,735553937.66,249264352.58,,,,,,4500755.86,857360470.78,,861861226.64,,,,,,,,87984436.96,79670250.8,,,1971281069.82,519013315.52,,221200808322.54,,,5682796834.0,,1364420840.3,340449482.31,1023971357.99,180497067085.98,,,,,,,,726986563.81,,3380061950.86,,,,,,,,707304232.25,,,122662337.86,,,,,,,,,,133224643.17,,,7617362587.37,,,,,83471068.72,,,,355736203.52,200671094347.84,,2444344974.0,1999142800.0,,,1738981692.71,349961183.45,,,,6009721571.56,3517988439.64,,,4289369816.08,,,,20349510477.44,180203497.26,221200808322.54,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T16:16:03
20250630,,10291307542.74,,,,,2406596408.96,,,,290013020.51,,,,,11603167882.9,1881426570.39,,,,,,,,,,141161511482.34,146122178048.61,5182442115.68,,,,,,,,,,,1918097627.19,,18735395988.04,30843466810.83,,760850253.46,249264352.58,,1853749978.83,971901372.32,881848606.51,,3311968.36,881848606.51,,885160574.87,,,,,,,,79476810.3,86888263.67,,,2147053676.82,445617634.63,,223785294900.23,,,7178231890.22,,1532384806.63,340036696.34,1192348110.29,179932531219.76,,,,,,,,761486555.8,,4681150420.76,,,,,,,,650020343.58,,,236138546.57,,,,,,,,,,131798890.17,,,8093132419.41,,,,,73241261.48,,,,314670680.79,203584787035.17,,2444344974.0,1999142800.0,,1999142800.0,1738981692.71,599114770.0,,,,6009721571.56,3517988439.64,,,3712056781.39,,,,20021351029.3,179156835.76,223785294900.23,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T18:30:02
20250331,,10097966294.3,,,,,3396626603.52,,,,772678402.8,,,,,10215541121.83,1687816043.95,,,,,,,,,,139547846626.81,144358336174.19,4810489547.38,,,,,,,,,,,1898865115.99,,20690481168.08,30516261097.05,,705321948.56,249864352.58,,,,,,16519538.72,898844928.84,,915364467.56,,,,,,,,58607668.43,89162731.54,,,2005412258.46,435413152.77,,223283229054.23,,,5040619162.19,,3381318073.52,829141663.62,2552176409.9,178522411537.88998,,,,,,,,699727850.01,,7105929408.84,,,,,,,,649504676.58,,,140815673.89,,,,,,,,,,137601167.43,,,6955100965.15,,,,,50444955.49,,,,337245590.26,203020719061.25,,2444344974.0,1999142800.0,,,1738981692.71,510639695.22,,,,5444121394.54,3136929995.69,,,4811263757.03,,,,20085424309.19,177085683.79,223283229054.23,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T20:02:10
20241231,,9688840428.73,,,,,3271300396.25,,,,580439854.71,,,,,12534790691.25,199015186.23,,,,,,,,,,132718553290.91,137315774109.01,4796983234.59,,,,,,,,,,,1877365115.99,,26715726781.04,26812641022.36,,778468848.07,249864352.58,,1843224893.5,923810295.01,919414598.49,,15480599.54,919414598.49,,934895198.03,,,,,,,,51243622.43,97147832.24,,,1983896616.28,413837636.03,,218908026873.13,,,5039201857.45,,2092407154.49,658098180.89,1434308973.6,171217204992.06,,,,,,,,777943956.38,0.0,12031635212.26,,,,,,,,670364600.01,,,139510152.56,,,,,,,,,,139705038.17,,,6528152941.87,,,,,44933512.19,,,,332216295.56,199013275713.0,,2444344974.0,1999142800.0,,1999142800.0,1738981692.71,710567430.24,,,,5444121394.54,3136929995.69,,,4248960229.81,,,,19723048516.99,171702643.14,218908026873.13,定期报告,是,20260331,CNY,合并期末,2025-03-28T21:00:03
20240930,,9535588261.1,,,,,2912261715.41,,,,419956196.8,,,,,10318245870.16,2978493733.1,,,,,,,,,,131162913903.74,136156930891.03,4994016987.29,,,,,,,,,,,1844726727.5,,26755193310.07,25584594518.28,,654759759.32,328684965.69,,,,,,10881710.22,914573735.34,,925455445.56,,,,,,,,56977218.29,105813230.96,,,2009907189.26,271196034.33,,215864768079.57,,,4732012344.61,,2480954496.88,462983245.88,2017971251.0,169782932056.24997,,,,,,,,651641148.56,,10619467297.21,,,,,,,,545747226.97,,,147059350.82,,,,,,,,,,150014521.53,,,8262074415.49,,,,,55415715.55,,,,159600217.47,197586918791.34,,2169662336.0,2448936800.07,,,495074003.59,542634415.54,,,,5444121394.54,3136929995.69,,,3856271496.88,,,,18093630442.31,184218845.92,215864768079.57,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T19:30:02
20240630,,9786843171.63,,,,,2528699784.95,,,,631488172.71,,,,,16530254257.67,992721607.71,,,,,,,,,,130633749175.4,135844743532.95,5409289064.78,,,,,,,,,,,1820943424.14,,29090997724.22,20379062067.34,,530113127.61,328684965.69,,1816534307.98,877296332.7,939237975.28,,9553757.64,939237975.28,,948791732.92,,,,,,,,65828955.7,115333090.36,,,1988650654.64,346007701.29,,216718169613.98,,,4749272817.5,,2300799198.84,665223430.09,1635575768.75,170794267621.40997,,,,,,,,524386764.69,935287129.69,8784281798.23,,,,,,,,517932600.71,,,144683390.23,,,,,,,,,,163314489.66,,,9883644077.14,,,,,61531141.93,,,,119415789.85,198978816819.88,,2169655073.0,2448942204.12,,,495050014.3,544255647.98,,,,5444121394.54,3136084123.77,,,3317503907.36,,,,17555612365.07,183740429.03,216718169613.98,定期报告,未审计,20240827,CNY,合并期末,2024-08-26T17:40:04
20240331,,8985255160.87,,,,,2188836302.1,,,,,,,,,16198552247.26,5722387945.35,,,,,,,,,,128827553317.17,133766730341.67,4939177024.5,,,,,,,,,,,1766741231.63,,28161002255.08,20434467050.33,,450902716.76,328684965.69,,,,,,9709953.89,966168401.72,,975878355.61,,,,,,,,72546159.63,118418154.28,,,1883373362.89,345256515.96,,216459855740.61,,,4745340165.22,,1601202201.44,300268922.39,1300933279.05,172497180046.40997,,,,,,,,450470096.54,581607920.96,8578200564.01,,,,,,,,485912744.67,,,99472747.09,,,,,,,,,,161447416.19,,,9127965145.5,,,,,68317784.1,,,,308782297.95,198705899130.08,,2169650455.0,2448945806.82,,,495033797.44,438778433.31,,,,4912984287.52,2780052241.48,,,4333192553.56,,,,17578637575.13,175319035.4,216459855740.61,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T20:40:05
20231231,,10143607596.28,,,,,2873507478.07,,,,0.0,,,,,9469524058.28,0.0,,,,,,,,,,122255577281.9,127099527907.65,5059009733.96,,,,,,,,,,,1736141231.64,,22466893119.46,34127675277.7,,385370496.54,328684965.69,,1827346295.36,835474839.41,991871455.95,,6767552.03,991871455.95,,998639007.98,,,,,,,,73651233.55,129603004.31,,,1847514160.33,290409526.22,,207126798437.95,,,4744700305.09,,3119400278.44,856876545.15,2262523733.29,160923024791.99002,,,,,,,,377324949.98,161559924.14,10491565082.32,,,,,,,,510415081.52,,,86978876.6,,,,,,,,,,141053942.61,,,9132628626.74,,,,,70912964.2,,,,156216495.44,189915781319.07,,2169650225.0,2448945986.96,,1999142800.0,495032985.69,440992140.0,,,,4912984287.52,2780052241.48,,,3788342862.72,,,,17036000729.37,175016389.51,207126798437.95,定期报告,是,20250329,CNY,合并期末,2024-04-29T20:40:05
20230930,,9087332916.59,,,,,2370887663.0,,,,,,,,,8772474806.92,,,,,,,,,,,120557629249.67,125678625384.38,5120996134.71,,,,,,,,,,,1690710695.26,,22868393491.87,33582245749.59,,314364447.64,339692184.38,,,,,,8466806.54,994242516.3,,1002709322.84,,,,,,,,62846560.43,138148910.43,,,1893595207.05,360954921.94,,203041986127.61,,,4644397916.71,,2108177929.18,307030817.4,1801147111.78,158035938309.15002,,,,,,,,337015383.32,,10766384610.5,,,,,,,,391473266.26,,,193908818.1,,,,,,,,,,143753404.94,,,9340699810.96,,,,,58344666.97,,,,223085009.08,186243179125.17,,2169649764.0,2448946347.23,,,495031363.2,410320817.33,,,,4912984287.52,2780052241.48,,,3399458216.69,,,,16616443037.45,182363964.99,203041986127.61,定期报告,未审计,20231031,CNY,合并期末,2023-10-30T18:40:03
