报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,422940454.91,422940454.91,,,,,,397839294.39,232061558.04,,,,,,,,,10040057.47,7038684.07,124139222.1,23884145.33,675627.38,2374189.41,,230140.38,,,,,724243.63,,,,409008.29,-1266441.83,-4093059.49,,,21105051.5,91322.26,,1789992.33,,19406381.43,7379340.68,,12027040.75,12027040.75,,12884205.7,,-857164.95,-6176733.03,-6176733.03,-6176733.03,,,-6176733.03,,,,,,,,,,,,,,5850307.72,6707472.67,-857164.95,0.02,0.02,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T20:02:03
20251231,1952370316.93,1952370316.93,,,,,,1850971624.35,1071682276.02,,,,,,,,,27232413.01,30239194.87,619133130.61,99573344.71,3111265.13,10071064.98,,2994678.83,292741.64,,,,548844.96,,,,6257806.54,-16348367.9,-21264639.42,,227956.19,73814971.78,234692.15,,3177147.94,,70872515.99,31037431.25,,39835084.74,39835084.74,,38244070.55,,1591014.19,-838779.31,-838779.31,-838779.31,,,-838779.31,,,,,,,,,,,,,,38996305.43,37405291.24,1591014.19,0.07,0.07,定期报告,是,20260429,CNY,合并期末,2026-04-28T20:02:03
20250930,1397861990.39,1397861990.39,,,,,,1317761316.36,740077387.15,,,,,,,,,22409618.58,21761826.84,462198005.49,69824726.88,1489751.42,6973028.75,,,,,,,1013050.21,,,,3837393.98,-12603522.78,-6118676.12,,30295.83,66259215.15,117178.13,,1218606.11,,65157787.17,14066768.33,,51091018.84,51091018.84,,50301604.35,,789414.49,-223221.11,-223221.11,-223221.11,,,-223221.11,,,,,,,,,,,,,,50867797.73,50078383.24,789414.49,0.09,0.09,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T16:58:04
20250630,960849846.72,960849846.72,,,,,,903529215.25,510774959.81,,,,,,,,,14474919.24,13850931.65,317994848.64,44994683.6,1438872.31,5104956.55,,,,,,,151126.36,,,,2651717.94,-8017259.23,-5968578.48,,,46137638.06,70005.42,,752919.55,,45454723.93,11040218.48,,34414505.45,34414505.45,,32808146.86,,1606358.59,-3417692.18,-3417692.18,-3417692.18,,,-3417692.18,,,,,,,,,,,,,,30996813.27,29390454.68,1606358.59,0.06,0.06,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T16:50:04
20250331,479926834.64,479926834.64,,,,,,455826488.73,255467264.82,,,,,,,,,9244630.85,7656280.53,160128803.18,21910380.2,1419129.15,2484396.81,,,,,,,223655.42,,,,1026272.45,-558121.75,-3910182.42,,,20881969.61,5114.02,,733929.94,,20153153.69,4435580.39,,15717573.3,15717573.3,,14994496.83,,723076.47,-4370158.26,-4370158.26,-4370158.26,,,-4370158.26,,,,,,,,,,,,,,11347415.04,10624338.57,723076.47,0.03,0.03,定期报告,未审计,20260429,CNY,合并期末,2025-04-25T17:52:08
20241231,2048808450.63,2048808450.63,,,,,,1924744427.86,1075066712.95,,,,,,,,,26914343.0,32885108.76,692354425.88,92654588.47,4869248.8,12796063.86,,1258491.64,178600.17,,,,-23908.42,,,,5446524.41,-23119643.24,-15839065.25,,-119331.4,91667090.51,256771.77,,4345995.61,,87577866.67,21499804.47,,66078062.2,66078062.2,,71388047.35,,-5309985.15,9670419.82,9670419.82,9670419.82,,,9670419.82,,,,,,,,,,,,,,75748482.02,81058467.17,-5309985.15,0.13,0.13,定期报告,是,20260429,CNY,合并期末,2025-04-25T17:52:08
20240930,1563273519.07,1563273519.07,,,,,,1481112830.96,799209934.66,,,,,,,,,21906440.35,31895111.13,559647311.54,66570448.65,1883584.63,8766698.93,,797136.97,,,,,-306263.98,,,,3892837.07,-963504.41,-11418386.47,,159663.56,74322170.85,644750.04,,2755865.41,,72211055.48,13396898.52,,58814156.96,58814156.96,,59353789.97,,-539633.01,13352966.11,13352966.11,13352966.11,,,13352966.11,,,,,,,,,,,,,,72167123.07,72706756.08,-539633.01,0.11,0.11,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T16:27:03
20240630,1110366035.45,1110366035.45,,,,,,1052894598.73,584204305.3,,,,,,,,,14723863.51,25115733.73,387480185.73,41077880.85,292629.61,5652652.63,,,,,,,45081.88,,,,3037469.26,-1321213.57,-11481576.47,,151917.7,47903115.52,573158.31,,1158096.5,,47318177.33,8427166.5,,38891010.83,38891010.83,,37837024.85,,1053985.98,-1324852.13,-1324852.13,-1324852.13,,,-1324852.13,,,,,,,,,,,,,,37566158.7,36512172.72,1053985.98,0.07,0.07,定期报告,未审计,20250830,CNY,合并期末,2024-08-30T17:17:04
20240331,574528830.84,574528830.84,,,,,,543620372.68,291963969.03,,,,,,,,,9990823.78,8960100.75,212443264.19,18615043.03,1647171.9,3016207.09,,,,,,,-7877.97,,,,603356.71,,90360.0,,151917.7,31746214.6,28453.17,,389838.65,,31384829.12,6261692.49,,25123136.63,25123136.63,,23944713.73,,1178422.9,223699.68,223699.68,223699.68,,,223699.68,,,,,,,,,,,,,,25346836.31,24168413.41,1178422.9,0.04,0.04,定期报告,未审计,20250426,CNY,合并期末,2024-04-29T17:17:09
20231231,2340945518.0,2340945518.0,,,,,,2246305246.56,1172062315.51,,,,,,,,,29072794.64,32304982.17,909409176.86,92534824.12,10921153.26,14763810.95,,810174.97,347032.41,,,,897679.62,,,,10949955.1,-72412600.81,47685053.3,,268660.79,82839194.41,931933.34,,363161.24,,83407966.51,25148750.35,,58259216.16,58259216.16,,57000674.55,,1258541.61,4813822.44,4813822.44,4813822.44,,,4813822.44,,,,,,,,,,,,,,63073038.6,61814496.99,1258541.61,0.11,0.11,定期报告,是,20250426,CNY,合并期末,2024-04-29T17:17:09
