报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,4325982944.34,,,,,,,,,,,90453445.33,37667626.84,4454104016.51,6286088950.07,,,,,,253685244.19,89585894.06,119320927.53,6748681015.85,-2294576999.34,,,27120624.81,713877.53,,0.0,,,27834502.34,36002095.26,0.0,,0.0,,226523402.68,262525497.94,-234690995.6,,,,1293916647.94,,524325738.92,1818242386.86,433723911.24,12151946.2,4000000.0,25782088.03,471657945.47,1346584441.39,-2284147.3,-1184967700.85,1991251346.56,,,,,806283645.71,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T18:54:05
20251231,,20255789778.97,,,,,,,,,,,177291271.06,135526955.56,20568608005.59,18796336714.66,,,,,,695264678.96,294090399.19,488086176.06,20273777968.87,294830036.72,,1400000.0,59166498.19,5155255.53,540894.35,3346164.6,,,69608812.67,259141981.7,,,7793620.52,,8209500.0,275145102.22,-205536289.55,,39600000.0,39600000.0,1138980447.62,,325461763.4,1504042211.02,983750000.0,274098729.92,62047602.51,79894487.2,1337743217.12,166298993.9,868702.82,256461443.89,1732320276.96,1988781720.85,1732320276.96,,,1988781720.85,定期报告,是,20260331,CNY,合并期末,2026-03-30T20:56:05
20250930,,14084828215.93,,,,,,,,,,,106704986.23,75019436.3,14266552638.46,14370170943.59,,,,,,546191139.14,204775599.31,346444031.8,15467581713.84,-1201029075.38,,,36514868.67,2330701.31,,,,,38845569.98,213579435.2,3920406.51,,,,220458518.24,437958359.95,-399112789.97,,43573952.0,38720000.0,1135603727.48,,450281760.37,1629459439.85,746100000.0,265588173.99,6813369.5,86198042.72,1097886216.71,531573223.14,1467746.18,-1067100896.03,1732320276.96,,,,,665219380.93,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T20:32:20
20250630,,8621763207.77,,,,,,,,,,,94583018.25,58194500.03,8774540726.05,9177610327.44,,,,,,387310481.54,172418505.27,220642752.5,9957982066.75,-1183441340.7,,,74185129.01,1210184.31,,40000000.0,,,115395313.32,140493492.99,54320406.51,,,,209226664.04,404040563.54,-288645250.22,,,,1005720341.3,,332510224.93,1338230566.23,463600000.0,218262246.04,61547602.51,25403783.95,707266029.99,630964536.24,1847604.01,-839274450.67,1732320276.96,893045826.29,1732320276.96,,,893045826.29,定期报告,未审计,20250730,CNY,合并期末,2025-07-29T19:46:08
20250331,,3735591669.7,,,,,,,,,,,67991928.01,12480730.37,3816064328.08,4327771820.11,,,,,,239730261.87,88895120.82,113930475.64,4770327678.44,-954263350.36,,,8645968.08,779270.1,,0.0,,,9425238.18,63271394.98,0.0,,3920406.51,,123150746.04,190342547.53,-180917309.35,,,,289746296.34,,40981750.0,330728046.34,140500000.0,13335919.53,6813369.5,71378418.95,225214338.48,105513707.86,194659.85,-1029472292.0,1732320276.96,,,,,702847984.96,定期报告,未审计,20260430,CNY,合并期末,2025-04-28T17:44:06
20241231,,17744005466.25,,,,,,,,,,,70330956.42,99629037.64,17913965460.31,16289776011.29,,,,,,628028161.55,240732576.3,403405017.51,17561941766.65,352023693.66,,2095673.0,20299565.5,3083869.93,,11000000.0,,,36479108.43,208537121.66,57184000.0,,58030579.1,,114587153.0,438338853.76,-401859745.33,,,,996738229.28,,100392250.0,1097130479.28,496800000.0,496607449.24,35791621.14,75924744.21,1069332193.45,27798285.83,1191682.49,-20846083.35,1753166360.31,1732320276.96,1753166360.31,,,1732320276.96,定期报告,是,20260331,CNY,合并期末,2025-03-28T21:00:05
20240930,,12515749623.72,,,,,,,,,,,67528832.61,69546081.3,12652824537.63,12178197365.49,,,,,,494966435.42,176304716.35,278408873.51,13127877390.77,-475052853.14,,,16570406.35,1935049.93,,,,,18505456.28,158105649.83,63295111.11,,,,419197992.9,640598753.84,-622093297.56,,,,612610172.33,,289097824.04,901707996.37,327150000.0,344997678.2,34008705.52,62659180.0,734806858.2,166901138.17,-394325.21,-930639337.74,1753166360.31,,,,,822527022.57,定期报告,未审计,20251028,CNY,合并期末,2024-10-27T15:50:33
20240630,,7766007293.93,,,,,,,,,,,58007215.74,50014883.98,7874029393.65,8077401848.63,,,,,,344330251.79,138383237.57,191485540.96,8751600878.95,-877571485.3,,,11142282.67,1742349.93,,12541349.0,,,25425981.6,109856576.36,2184000.0,,,,52276121.33,164316697.69,-138890716.09,,,,541775672.06,,0.0,541775672.06,294150000.0,337471520.83,34008705.52,50437765.15,682059285.98,-140283613.92,511682.23,-1156234133.08,1753166360.31,596932227.23,1753166360.31,,,596932227.23,定期报告,未审计,20250730,CNY,合并期末,2024-07-29T21:00:04
20240331,,3315151617.51,,,,,,,,,,,12958259.69,34604999.05,3362714876.25,4027019927.92,,,,,,213875900.37,68184987.11,95118338.97,4404199154.37,-1041484278.12,,,6037295.42,565100.0,,,,,6602395.42,37268166.18,,,,,92912411.5,130180577.68,-123578182.26,,,,347286887.82,,,347286887.82,119500000.0,14225209.48,8571301.86,270167150.05,403892359.53,-56605471.71,87818.6,-1221580113.49,1753166360.31,,,,,531586246.82,定期报告,未审计,20250429,CNY,合并期末,2024-04-25T17:10:23
20231231,,16169341459.79,,,,,,,,,,,61995994.87,73473349.3,16304810803.96,14725926381.03,,,,,,566627748.94,278877449.96,323205437.25,15894637017.18,410173786.78,,17976559.68,20081663.74,9855311.52,32559246.07,46741237.0,,,127214018.01,115530862.19,,,,,,115530862.19,11683155.82,,,,1448028941.24,,236000000.0,1684028941.24,1037000000.0,295335467.88,7929692.7,47860340.69,1380195808.57,303833132.67,1119075.35,726809150.62,1026357209.69,1753166360.31,1026357209.69,,,1753166360.31,定期报告,是,20250329,CNY,合并期末,2024-03-28T20:40:05
20230930,,11148730548.22,,,,,,,,,,,61167321.02,49439960.31,11259337829.55,11053359728.03,,,,,,428831989.72,218303868.44,251639467.63,11952135053.82,-692797224.27,,17976559.68,13594106.7,7578605.55,,,,,39149271.93,87922272.92,,,,,181837755.83,269760028.75,-230610756.82,,,,1201625013.92,,205000000.0,1406625013.92,587500000.0,286817799.6,7929692.7,39484675.08,913802474.68,492822539.24,1245677.65,-429339764.2,1026357209.69,,,,,597017445.49,定期报告,未审计,20241028,CNY,合并期末,2024-10-27T15:50:33
